school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled
54280,ROBERT F KENNEDY HIGH SCHOOL,Delano,Kern,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,6.0
54281,EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0
54283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,11.0
54285,ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0
54286,SCH ENGINEERING & SCIENCES,Sacramento,Sacramento,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
54287,ORCUTT ACADEMY CHARTER HIGH SCHOOL,Orcutt,Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,22.0,13.0,3.0
54301,BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,3.0
54303,OAKLAND CHARTER HIGH SCHOOL,Oakland,Alameda,3.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,13.0,0.0,0.0,0.0,18.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,19.0
54304,LITERACY FIRST CHARTER SCHOOLS,Alpine,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,8.0,6.0,0.0
54307,ENCORE JR/SR HIGH SCHOOL,Hesperia,San Bernardino,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0
54310,CASTAIC HIGH SCHOOL,Castaic,Los Angeles,3.0,7.0,0.0,0.0,0.0,0.0,10.0,15.0,7.0,0.0,0.0,0.0,11.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,5.0,49.0,32.0,18.0
54313,HIGH TECH HIGH CHULA VISTA,Chula Vista,San Diego,5.0,7.0,3.0,0.0,0.0,0.0,9.0,12.0,5.0,0.0,0.0,0.0,45.0,70.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,95.0,64.0,25.0
54316,OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino,7.0,13.0,4.0,0.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0,63.0,92.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,119.0,83.0,43.0
54317,MIRA MONTE HIGH SCHOOL,Bakersfield,Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,73.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,57.0,16.0
54321,YORBA LINDA HIGH SCHOOL,Yorba Linda,Orange,6.0,8.0,4.0,0.0,0.0,0.0,66.0,83.0,47.0,8.0,8.0,4.0,11.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,12.0,155.0,116.0,71.0
54331,CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,6.0,9.0,4.0,0.0,0.0,0.0,25.0,32.0,19.0,3.0,0.0,3.0,24.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,8.0,107.0,75.0,45.0
54332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,6.0
54344,SKY MOUNTAIN CHARTER SCHOOL,Placerville,El Dorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
54345,SHADOW HILLS HIGH SCHOOL,Indio,Riverside,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,52.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,60.0,45.0,14.0
54346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,33.0,9.0
54347,MISSION VISTA HIGH SCHOOL,Oceanside,San Diego,5.0,10.0,3.0,0.0,0.0,0.0,21.0,28.0,13.0,3.0,0.0,3.0,27.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,8.0,110.0,78.0,38.0
54348,CALIFORNIA CITY HIGH SCHOOL,California City,Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,14.0,13.0,4.0
54351,DEL NORTE HIGH SCHOOL,San Diego,San Diego,9.0,11.0,5.0,0.0,0.0,0.0,170.0,204.0,85.0,16.0,17.0,8.0,18.0,29.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,52.0,75.0,24.0,341.0,268.0,125.0
54353,GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,10.0,11.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,75.0,87.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,88.0,34.0
54355,DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,6.0,10.0,0.0,0.0,0.0,0.0,9.0,10.0,7.0,0.0,0.0,0.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,27.0,10.0
54357,MURRIETA MESA HIGH SCHOOL,Murrieta,Riverside,7.0,10.0,5.0,0.0,0.0,0.0,20.0,24.0,11.0,0.0,0.0,0.0,30.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,7.0,96.0,70.0,37.0
54360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,19.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,9.0
