school_id,school,city,countystate_territory,university,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,pacific_islander_app,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
51749,RIVERSIDE STEM ACADEMY,Riverside,Riverside,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0
51763,SANTA MONICA HIGH SCHOOL,Santa Monica,Los Angeles,Berkeley,4.0,19.0,0.0,0.0,0.0,11.0,41.0,4.0,3.0,12.0,0.0,9.0,52.0,6.0,0.0,0.0,0.0,20.0,122.0,8.0,246.0,47.0,18.0,19.11,7.32
51768,RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange,Berkeley,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,18.52,0.0
51774,PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,Berkeley,0.0,0.0,0.0,0.0,0.0,8.0,69.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,14.0,3.0,93.0,11.0,3.0,11.83,3.23
51776,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,0.0,6.38,0.0
51779,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,11.11,0.0
51783,ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,Berkeley,0.0,5.0,0.0,0.0,0.0,19.0,102.0,0.0,0.0,11.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,177.0,25.0,0.0,14.12,0.0
51786,THOMAS JEFFERSON HIGH SCHOOL,Los Angeles,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
51788,GRANADA HIGH SCHOOL,Livermore,Alameda,Berkeley,0.0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,39.0,0.0,101.0,4.0,0.0,3.96,0.0
51790,ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,Berkeley,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
51794,UNIVERSITY PATHWAYS PUB SVC AC,Los Angeles,Los Angeles,Berkeley,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
51795,W C OVERFELT HIGH SCHOOL,San Jose,Santa Clara,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
51799,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
51804,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,3.0,11.54,11.54
51805,WESTLAKE HIGH SCHOOL,Westlake Village,Ventura,Berkeley,0.0,7.0,0.0,0.0,0.0,6.0,51.0,3.0,3.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,39.0,0.0,119.0,12.0,3.0,10.08,2.52
51811,QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,Berkeley,0.0,10.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,61.0,10.0,0.0,16.39,0.0
51813,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,5.0,52.0,3.0,95.0,11.0,3.0,11.58,3.16
51815,WESTMONT HIGH SCHOOL,Campbell,Santa Clara,Berkeley,0.0,0.0,0.0,0.0,0.0,11.0,60.0,8.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,90.0,11.0,8.0,12.22,8.89
51825,YORBA LINDA HIGH SCHOOL,Yorba Linda,Orange,Berkeley,0.0,0.0,0.0,0.0,0.0,10.0,59.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,83.0,10.0,3.0,12.05,3.61
