school_,city_,countystate_territory_,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,5.0,8.0,0.0,0.0,0.0,0.0,21.0,22.0,10.0,0.0,0.0,0.0,18.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,44.0,18.0,73.33,30.0
CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,8.0,65.38,30.77
CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,3.0,0.0,0.0,0.0,28.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,39.0,12.0,75.0,23.08
CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,52.0,78.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,58.0,20.0,69.05,23.81
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,6.0,0.0,0.0,0.0,50.0,61.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,58.0,25.0,80.56,34.72
CHAPARRAL HIGH SCHOOL,Temecula,Riverside,17.0,23.0,6.0,3.0,0.0,0.0,65.0,76.0,48.0,7.0,9.0,0.0,57.0,78.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,52.0,20.0,238.0,188.0,101.0,78.99,42.44
CHARTER COMMUNITY SCHOOL,Placerville,El Dorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,3.0,inf,inf
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,28.0,19.0,5.0,67.86,17.86
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,5.0,0.0,0.0,0.0,19.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,55.0,27.0,13.0,49.09,23.64
CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,140.0,0.0
CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,16.0,3.0,0.0,0.0,13.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,60.0,47.0,26.0,78.33,43.33
CHICO SENIOR HIGH SCHOOL,Chico,Butte,3.0,0.0,3.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.0,13.0,60.0,44.0,20.0,73.33,33.33
