school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
50714,CYPRESS HIGH SCHOOL,Cypress,Orange,9.0,17.0,4.0,0.0,0.0,0.0,127.0,185.0,76.0,4.0,5.0,0.0,18.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,3.0,271.0,169.0,86.0,62.36,31.73
50715,CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,28.0,49.0,10.0,0.0,0.0,0.0,40.0,53.0,27.0,3.0,0.0,0.0,42.0,68.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,47.0,54.0,26.0,224.0,163.0,85.0,72.77,37.95
50718,CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,0.0,0.0,0.0,0.0,0.0,0.0,224.0,253.0,116.0,28.0,31.0,9.0,8.0,12.0,5.0,21.0,25.0,14.0,0.0,0.0,0.0,16.0,24.0,4.0,345.0,297.0,148.0,86.09,42.9
50720,JEFFERSON HIGH SCHOOL,Daly City,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,9.0,0.0,0.0,0.0,8.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,28.0,15.0,66.67,35.71
50721,TERRA NOVA HIGH SCHOOL,Pacifica,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,7.0,29.0,24.0,13.0,82.76,44.83
50722,GAHR HIGH SCHOOL,Cerritos,Los Angeles,7.0,19.0,0.0,0.0,0.0,0.0,41.0,56.0,24.0,0.0,0.0,0.0,13.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,61.0,32.0,61.62,32.32
50723,WESTMOOR HIGH SCHOOL,Daly City,San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,52.0,79.0,32.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,56.0,32.0,63.64,36.36
50725,SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,4.0,8.0,3.0,0.0,0.0,0.0,47.0,62.0,17.0,6.0,8.0,6.0,16.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,112.0,28.0,221.0,134.0,62.0,60.63,28.05
50727,MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,5.0,7.0,0.0,0.0,0.0,0.0,137.0,188.0,74.0,15.0,18.0,3.0,13.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,85.0,21.0,325.0,220.0,105.0,67.69,32.31
50729,DANA HILLS HIGH SCHOOL,Dana Point,Orange,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,3.0,8.0,0.0,20.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,73.0,29.0,130.0,79.0,42.0,60.77,32.31
50730,DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,7.0,13.0,4.0,0.0,0.0,0.0,98.0,113.0,63.0,10.0,15.0,5.0,36.0,57.0,21.0,0.0,5.0,0.0,0.0,0.0,0.0,100.0,128.0,49.0,331.0,251.0,142.0,75.83,42.9
